&phig/L  h_par(mm) error    volume
1.00     28.0      0.84   0.338135902
2.6      83.0      2.49   1.002331423
2.8      90.0      2.7    1.086865398
3.4     115.0      3.45   1.388772453
4.2     138.0      4.14   1.666526944
4.6     144.0      4.32   1.738984637
4.9     162.5      4.875  1.962395858
5.05    163.0      4.89   1.968433999
5.3     164.0      4.92   1.980510281
5.5     165.0      4.95   1.992586563











                                                     

 
 
 
  
  
  
                                                 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
   
   
   
                                        
  
  
  
  
  
  
 
 
 
 
  
  
  
 
 
 
 
  
  
  
  
  
  
  
  
  
  
  

 
 
 
 
 
 
 
 
 
 
 
 
 
  
  
  
  
  
 












































