&time(secs)  dist(mm) d_abs    error
0.0         19.045   0          0.0
10.0        25.446    6.401     0.1280
20.0	    34.368   15.323     0.3065
30.0        42.178   23.133     0.4627
40.0	 	48.087   29.042     0.5808
50.0	 	52.758   33.713     0.6743
60.0	 	58.220   39.175     0.7835
70.0	    62.918   43.873     0.8775
80.0        67.899   48.854     0.9771
90.0      	73.374   54.329     1.0866
100.0  	    79.145   60.1       1.2020
110      	85.544   66.499     1.3300
120.0       91.314   72.269     1.4454
