&time(secs)  dist(mm) d_abs    error
0.0         19.088    0        0.0
10.0        27.497    8.409    0.1682
20.0	    33.411    14.323   0.2865
30.0        40.237    21.149   0.4230
40.0	    48.631    29.543   0.5909
50.0	    53.401    34.313   0.6863
60.0	    58.856    39.768   0.7957
70.0	    64.083    44.995   0.8999
80.0        69.313    50.225   1.0045
90.0        75.897    56.809   1.1362
100.0       79.080    59.992   1.1998
110         89.323    70.235   1.4047
120.0       97.047    77.959   1.5592
