&file weight(gm)   r(mm)     stress (Pa)  
glass1 2.761      6.35         130.759     
glass2 5.328      7.935        160.048
glass3 3.597      7.015        135.9199
glass4 3.103      6.535        133.3506    
glass5 1.552      5.315        102.0278     
glass6 1.459      5.17         102.8298     
glass7 1.370      5.115         96.6031
glass8 9.213      9.5          180.6656








































































































































































































































































































































































































































































































































