&time(secs)  dist(mm)           error
0.0              0              0
30.0            3.702          0.1851
60.0            4.629          0.23145
90.0            8.293          0.41465
120.0           13.544         0.6772
150.0           14.463         0.72315         
180.0           17.841         0.89205         
210.0           18.759         0.93795         
240.0           22.413         1.12065         
270.0           24.593         1.22965         
300.0           33.835         1.69175         
330.0           45.207         2.26035         
360.0           60.268         3.0134         
390.0           76.561         3.82805         
420.0           79.936         3.9968         
450.0           82.69          4.1345         
480.0           90.643         4.53215         
510.0           97.147         4.85735         
540.0           100.52         5.026         
570.0           100.221        5.01105         
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                                
                                 
                                 
                                 
                                 
                                 














































































































































































































































































































































































































































































