&time(secs)  dist(mm)     error
0.0  	   0           0
5.0     	 8.607       0.43035
10.0    	 10.438      0.5219
15.0         10.141      0.50705
20.0    	 10.757      0.53785
25.0         11.678      0.5839
30.0    	 11.063      0.55315
35.0    	 15.975      0.79875
40.0    	 19.924      0.9962
45.0    	 24.591      1.22955
50.0    	 33.162      1.6581
55.0    	 40.545      2.02725
60.0    	 48.85       2.4425
65.0     	 58.706      2.9353
70.0    	 67.011      3.35055
75.0     	 72.543      3.62715
80.0     	 82.658      4.1329
85.0    	 87.171      4.35855
90.0    	 91.598      4.5799
95.0    	 91.598      4.5799
100.0    	 95.287      4.76435
105.0   	 101.13      5.0565
110.0   	 107.586     5.3793
115.0   	 114.042     5.7021
120.0   	 126.948     6.3474
125.0   	 129.701     6.48505
130.0   	 134.637     6.73185
