&time(secs)  dist(mm)          error
0.0             0             0
1.0             11.235        0.56175
2.0             14.025        0.70125
3.0             22.511        1.12555
4.0             27.411        1.37055
5.0             30.577        1.52885
6.0             35.761        1.78805
7.0             41.574        2.0787
8.0             47.055        2.35275
9.0            	52.893        2.64465
10.0            56.256        2.8128
11.0           	64.819        3.24095
12.0            66.645        3.33225
13.0           	72.764        3.6382
14.0            74.904        3.7452
15.0            80.358        4.0179
16.0            82.323        4.11615
17.0            87.747        4.38735
18.0            92.336        4.6168
19.0            98.44         4.922
20.0            102.114       5.1057
21.0            111.292       5.5646
22.0            112.515       5.62575
23.0            125.334       6.2667
          
                  
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   













































































































































































































































































































































































































































































