&time(secs)  dist(mm)        error
 0.0          0            0
 1.0            11.749       0.58745
 2.0            21.264       1.0632
 3.0            31.921       1.59605
 4.0            54.448       2.7224
 5.0            68.61        3.4305
 6.0            79.027       3.95135
 7.0            88.904       4.4452
 8.0            88.904       4.4452
 9.0            102.428      5.1214
 10.0           113.462      5.6731
 11.0           123.605      6.18025
                
               
               
               
               
               
               
               
               
               
               
               
               


















































































































































































































































































































































































































































































































































