&time(secs)  dist(mm) error
 0.0         0          0
60.0        4.482      0.2241
120.0       7.749      0.38745
180.0       14.313     0.71565
240.0       20.297     1.01485
300.0       22.617     1.13085
360.0       28.64      1.432
420.0       31.635     1.58175
480.0       35.507     1.77535
540.0       40.293     2.01465
600.0       45.954     2.2977
660.0       48.639     2.43195
720.0       51.722     2.5861
780.0       54.303     2.71515
840.0       60.574     3.0287
900.0       63.85      3.1925
960.0       71.025     3.55125
1020.0      75.206     3.7603
1080.0      82.352     4.1176
1140.0      88.326     4.4163
1200.0      98.445     4.92225
1260.0      108.87     5.4435
1320.0      115.758    5.7879
1380.0      120.861    6.04305
1440.0      124.432    6.2216
  
 
 
 
 















































































































































































































































































































































































































































































































































