&time(secs)  dist(mm)       error
0.0              0          0
1.0             6.558      0.3279
2.0             11.594     0.5797
3.0         	17.979     0.89895
4.0         	25.167     1.25835
5.0         	28.585     1.42925
6.0         	34.818     1.7409
7.0         	39.91      1.9955
8.0         	43.543     2.17715
9.0             48.858     2.4429
10.0        	57.006     2.8503
11.0        	62.868     3.1434
12.0        	67.466     3.3733
13.0        	75.285     3.76425
14.0        	79.244     3.9622
15.0        	85.171     4.25855
