&time(secs)  dist(mm)          error
0.0  	         0            0
1.0   	         8.423        0.42115
2.0    	        11.231        0.56155
3.0   	        15.855        0.79275
4.0   	        22.395        1.11975
5.0   	        26.765        1.33825
6.0   	        32.01         1.6005
7.0   	        34.19         1.7095
8.0   	        39.844        1.9922
9.0    	        44.515        2.22575
10.0  	        48.846        2.4423
11.0  	        51.298        2.5649
12.0  	        57.199        2.85995
13.0  	        60.024        3.0012
14.0  	        65.34         3.267
15.0  	        70.867        3.54335
16.0  	        72.085        3.60425
17.0            80.242        4.0121
18.0   	        84.331        4.21655
