&time(secs)  dist(mm)         error
0.0             0              0
1.0            5.837          0.29185
2.0            9.269          0.46345
3.0            14.852         0.7426
4.0            22.309         1.11545
5.0            26.962         1.3481
6.0            30.076         1.5038
7.0            34.73          1.7365
8.0            42.19          2.1095
9.0            48.091         2.40455
10.0           53.375         2.66875
11.0           57.11          2.8555
12.0           64.559         3.22795
13.0           66.113         3.30565
14.0           73.26          3.663
15.0           80.102         4.0051
16.0           85.398         4.2699
17.0           94.389         4.71945
