&time(secs)  dist(mm) error
0.0       0            0
1.0       9.01         0.4505
2.0       14.608       0.7304
3.0       16.49        0.8245
4.0       20.837       1.04185
5.0       26.41        1.3205
6.0       30.147       1.50735
7.0       33.559       1.67795
8.0       38.585       1.92925
9.0       42.277       2.11385
10.0      44.186       2.2093
11.0      49.773       2.48865
12.0      51.34        2.567
13.0      53.797       2.68985
14.0      56.555       2.82775
15.0      62.152       3.1076
16.0      63.385       3.16925
17.0      65.309       3.26545
18.0      69.696       3.4848
19.0      73.951       3.69755
20.0      79.24        3.962
21.0      80.803       4.04015
22.0      83.894       4.1947
23.0      90.751       4.53755
24.0      91.043       4.55215
25.0      97.879       4.89395
26.0      97.585       4.87925
27.0      101.915      5.09575
28.0      106.642      5.3321
29.0      111.553      5.57765
30.0      116.213      5.81065
