&time(secs)  dist(mm)   error
 0.0    0         0
30.0    9.985     0.49925
60.0    19.665    0.98325
90.0    27.078    1.3539
120.0   32.361    1.61805
150.0   36.799    1.83995
180.0   42.623    2.13115
210.0   48.867    2.44335
240.0   55.053    2.75265
270.0   57.867    2.89335
300.0	63.758    3.1879
330.0 	68.243    3.41215
360.0 	71.848    3.5924
390.0 	77.447    3.87235
420.0 	83.339    4.16695
450.0 	90.18     4.509
480.0 	91.746    4.5873
510.0 	98.866    4.9433
540.0  	109.756   5.4878
