&weight(gms) F_buoy      slope    error  filename
   2.70      0.302     0.8456   0.0122   nhist06b4000.dat
   2.70      0.302     0.8618   0.0294   nhist06a4000.dat
   3.222     0.297     0.7332   0.0244   nhist27a4000.dat
   3.250     0.297     0.7093   0.0167   nhist29a4000.dat
   3.288     0.296     0.6329   0.0165   nhist28a4000.dat
   3.467     0.294     0.5285   0.0117   nhist14a4000.dat
   4.141     0.288     0.5157   0.0168   nhist08a4000.dat
   5.07      0.279     0.4309   0.0094   nhist10a4000.dat
   6.006     0.270     0.3463   0.0048   nhist12a4000.dat
   6.568     0.264     0.2850   0.0051   nhist25a4000.dat
   8.145     0.249     0.1529   0.0018   nhist16a4000.dat
   9.695     0.233     0.0733   0.0012   nhist18a4000.dat
  11.700     0.214     0.0455   0.0007   nhist20a4000.dat
  14.010     0.191     0.0422   0.0007   nhist22a4000.dat
  15.464     0.177     0.0123   0.0006   nhist31a4000.dat
  17.266     0.169    0.0  0  nhist24a4000.dat
   2.70      0.302      7.3648   0.3307   lhist07a4000.dat    
   3.250     0.297      8.07877  0.3705    lhist30a4000.dat    
   3.467     0.294      6.7647   0.2627   lhist15a4000.dat
   4.141     0.288      6.1805   0.1226   lhist09a4000.dat
   5.07      0.279      5.7552   0.1085   lhist11a4000.dat
   6.006     0.270      5.6147   0.1167   lhist13a4000.dat
   6.568     0.264      4.3118   0.1089  lhist26a4000.dat
   8.145     0.249      2.956    0.1182    lhist17a4000.dat
   9.695     0.233      2.2743   0.0607     lhist19a4000.dat
  11.700     0.214      1.7131   0.0263  lhist21a4000.dat
  14.010     0.191      2.1419   0.0500   lhist23a4000.dat
  15.464     0.177      0.6672   0.0090     lhist32a4000.dat
  1.197   0   0   0   nhist00a2000.dat
  1.475   0   0   0   nhist01a2000.dat
  2.266   0   0   0   nhist02a2000.dat
  2.220   0   0   0   nhist03a2000.dat
  2.150   0   0   0   nhist04a2000.dat
  2.035   0   0   0   nhist05a2000.dat
  1.908   0   0   0   nhist06a2000.dat
  1.670   0   0   0   nhist07a2000.dat
  1.570   0   0   0   nhist08a2000.dat
  1.073   0   0   0   ntser01a1905.dat
  1.150   0   0   0   ntser02a1930.dat
  1.593   0   0   0   ntser03a2500.dat
  1.490   0   0   0   ntser06d2500.dat
  1.626   0   0   0   ntser05c2500.dat
  2.270   0   0   0   ntser04b2500.dat
  1.190   0   0   0   ntser07a2000.dat
 10.87    0   0   0      ntspp10a4000.dat
 11.87    0   0   0      ntspp11a4000.dat
 12.87    0   0   0      ntspp12a4000.dat
 13.87    0   0   0     ntspp13a4000.dat
 14.87    0   0   0      ntspp14a4000.dat
 15.87    0   0   0    ntspp15a4000.dat
 23.79    0   0   0    nhistppa4000.dat
 27.76    0   0   0    nhistppb4000.dat
 24.96    0   0   0    nhistppc4000.dat
 26.62    0   0   0    nhistppd4000.dat
 26.17    0   0   0    nhistppe4000.dat
 27.43    0   0   0    nhistppf4000.dat
 26.89    0   0   0    nhistppg4000.dat
 27.21    0   0   0    nhistpph4000.dat


































































































  
  
  
  

 
 
 
 
 
 
 
 
 
 
 
 
 
  
  
  
  
  
 












































