&time(secs)  dist(mm) d_abs       log_t        log_abs
0.0       	11.594    0     0              0
10.0        16.862    5.268     1              0.721645766
20.0	    22.130    10.536    1.301029996    1.022675762
30.0      	26.612    15.018    1.477121255    1.1766121
40.0	    30.826    19.232    1.602059991    1.28402445
50.0	    33.218    21.624    1.698970004    1.334936033
60.0	    36.889    25.295    1.77815125     1.403034684
70.0	    39.779    28.185    1.84509804     1.450018039
80.0        44.006    32.412    1.903089987       1.51070583
90.0        46.630    35.036    1.954242509       1.544514518
100.0     	49.279    37.685    2                 1.57616852
110.0       52.489    40.895    2.041392685       1.611670213
120.0       55.067    43.473    2.079181246       1.638219611
130.0     	57.164    45.57     2.113943352       1.658679029
140.0    	60.590    48.996    2.146128036       1.690160626
150.0      	62.175    50.581    2.176091259       1.703987411
160.0      	64.277    52.683    2.204119983       1.721670498
170.0       67.978    56.384    2.230448921       1.751155882
180.0      	69.554    57.96     2.255272505       1.763128377
190.0      	72.455    57.96     2.278753601       1.763128377
200.0      	74.574    57.96     2.301029996       1.763128377
210.0      	76.675    57.96     2.322219295       1.763128377
220.0       79.619    58.025    2.342422681       1.83266855
230.0 	    80.957    69.363    2.361727836       1.841127868
240.0 	    83.148    71.554    2.380211242       1.854633917
250.0       85.617    74.023    2.397940009       1.869366682
260.0 	    87.459    75.865    2.414973348       1.880041462
270.0 	    88.780    77.186    2.431363764       1.887538535
280.0	    91.680    80.086    2.447158031       1.903556603
290.0	    91.410    79.816    2.462397998       1.902089959
300.0     	95.099    83.505    2.477121255       1.92171248
310.0       97.206    85.612    2.491361694       1.932534643
320.0      100.112    88.518    2.505149978       1.947031593
330.0      101.179    89.585    2.51851394        1.952235298
340.0      103.035    91.441    2.531478917       1.961140967
350.0      104.603   93.009     2.544068044       1.968524975
360.0      106.427   94.833     2.556302501       1.976959489
370.0      106.701   95.107     2.568201724       1.978212483






































































































  
 












































