&time(secs)   dist(mm)     abs        log_t                log_abs
0.0         	5.782     0        0                     0
60.0        	9.887     4.105    1.77815125            0.613313161
120.0       	14.247    8.465    2.079181246           0.927626962
180.0       	17.660    11.878   2.255272505           1.074743321
240.0       	22.030    16.248   2.380211242           1.21079991
300.0       	25.623    19.841   2.477121255           1.297563557
360.0           29.526    23.744   2.556302501           1.375553884
420.0       	32.964    27.182   2.62324929            1.434281408
480.0           34.000    28.218   2.681241237           1.450526229
540.0       	36.093    30.311   2.73239376            1.481600265
600.0       	38.908    33.126   2.77815125            1.520168998
660.0       	41.098    35.316   2.819543936           1.547971508
720.0       	43.927    38.145   2.857332496           1.581437619
780.0       	46.732    40.95    2.892094603           1.612253906
840.0       	50.189    44.407   2.924279286           1.647451435
900.0       	52.723    46.941   2.954242509           1.671552337
960.0           55.347    49.565   2.982271233           1.695175111
1020.0          58.176    52.394   3.008600172           1.719281556
1080.0      	60.254    54.472   3.033423755           1.736173321
1140.0      	62.944    57.162   3.056904851           1.757107416
1200.0      	64.575    58.793   3.079181246           1.769325621
1260.0      	66.776    60.994   3.100370545           1.785287115
1320.0      	68.966    63.184   3.120573931           1.800607116
1380.0          71.708    65.926   3.139879086           1.819056726
1440.0      	73.336    67.554   3.158362492           1.82965107
1500.0      	75.521    69.739   3.176091259           1.843475716
1560.0      	77.415    71.633   3.193124598           1.85511314
1620.0      	80.436    74.654   3.209515015           1.873053082
1680.0      	81.160    75.378   3.225309282           1.87724461
1740.0      	83.644    77.862   3.240549248           1.891325555
1800.0          85.368    79.586   3.255272505           1.900836678
1860.0          88.334    82.552   3.269512944           1.916727599
1920.0          89.883    84.101   3.283301229           1.92480116
1980.0          91.936    86.154   3.29666519            1.935275446
2040.0          95.036    89.254   3.309630167           1.950627689
2100.0          96.951    91.169   3.322219295           1.959847191
2160.0    		99.580    93.798   3.334453751           1.972193578
2220.0         	102.552   96.77    3.346352974           1.985740741





































































































































































































































































































































































