&time(secs)  dist(mm) d_abs
0.0     	5.368     0
20.0       10.233  4.865
40.0       13.952  8.584
60.0       18.833  13.465
80.0       23.715  18.347
100.0      28.598  23.23
120.0      32.326  26.958
140.0      37.201  31.833
160.0      43.246  37.878
180.0      46.501  41.133
200.0      52.783  47.415
220.0      58.366  52.998
240.0      63.945  58.577
260.0      69.296  63.928
280.0      74.410  69.042
300.0      80.214  74.846
320.0      86.028  80.66
340.0      92.305  86.937
360.0      99.286  93.918
380.0      103.699 98.331
400.0      109.277 103.909
420.0      113.477 108.109
440.0      120.910 115.542
460.0      127.650 122.282
480.0      137.413 132.045
