&time(secs)  dist(mm) d_abs    log_t         log_abs
0.0        10.242     0        0             0
10.0       17.575     7.333    1             0.865281685
20.0	   23.349     13.107   1.301029996    1.117503299
30.0       30.162     19.92    1.477121255   1.299289334
40.0	   35.671     25.429   1.602059991   1.405329282
50.0	   43.017     32.775   1.698970004   1.5155427
60.0	   46.430     36.188   1.77815125    1.558564582
70.0	   53.245     43.003   1.84509804    1.633498754
80.0       55.364     45.122   1.903089987   1.654388341
90.0       61.641     51.399   1.954242509   1.71095467
100.0      65.360     55.118   2             1.74129345
110.0      70.060     59.818   2.041392685   1.776831888
120.0      73.980     63.738   2.079181246   1.804398432
130.0      79.744     69.502   2.113943352   1.841997302
140.0      83.931     73.689   2.146128036   1.867402663
150.0      89.438     79.196   2.176091259   1.898703247
160.0      98.892     88.65    2.204119983   1.94767874
170.0     108.872     98.63    2.230448921   1.994009033


























































































































  
 












































