&time(secs)  dist(mm) d_abs     log_t      log_abs
0.0          9.867    0        0             0
10.0      	 17.644   7.777    1                 0.890812099
20.0	     26.312   16.445   1.301029996       1.216033878
30.0         35.029   25.162   1.477121255       1.400745158
40.0	     42.795   32.928   1.602059991       1.517565353
50.0	     50.554   40.687   1.698970004       1.609455669
60.0	     56.263   46.396   1.77815125        1.66648054
70.0	     63.733   53.866   1.84509804        1.731314727
80.0         67.607   57.74    1.903089987       1.76147678
90.0         75.071   65.204   1.954242509       1.814274239
100.0        80.227   70.36    2                 1.847325831
110.0        91.008   81.141   2.041392685       1.909240356


































































































































  
 












































