&time(secs)  dist(mm)    d_abs    error
0.0    	     8.742      0         0
10.0        15.693      6.951     0.13902
20.0   	    23.770      15.028    0.30056
30.0        30.252      21.51     0.4302
40.0        37.202      28.46     0.5692
50.0   	    43.936      35.194    0.70388
60.0        51.541      42.799    0.85598
70.0     	56.926      48.184    0.96368
80.0   	    63.643      54.901    1.09802
90.0   	    68.799      60.057    1.20114
100.0  	    74.873      66.131    1.32262
110.0  	    80.480      71.738    1.43476
120.0  	    85.850      77.108    1.54216
130.0  	    91.653      82.911    1.65822
140.0  	    95.333      86.591    1.73182
150.0  	   103.347      94.605    1.8921
160.0  	   108.707      99.965    1.9993
