&time(secs)   dist(mm)
0.0 		3.822
2.0        11.904
4.0  	   16.713
6.0  	   20.320
8.0  	   23.970
10.0 	   28.579
12.0   	   32.069
14.0       36.346
16.0 	   40.315
18.0 	   44.281
20.0 	   49.520
22.0       52.721
24.0       56.423
26.0 	   58.995
28.0 	   63.170
30.0       66.991
32.0 	   70.472
34.0       74.966
36.0       79.695
38.0       81.241
40.0       85.098
42.0  	   89.246
44.0       90.818
46.0       94.634
48.0  	   98.365
50.0  	  100.925
52.0  	  104.941
54.0  	  108.058
56.0  	  112.743
58.0      117.651
60.0  	  118.640
