&time(secs)  dist(mm) d_abs        log_t            log_abs
0.0        15.283     0        0                    0
10.0       23.211     7.928    1                    0.899163641
20.0	   29.253    13.97     1.301029996          1.145196406
30.0       35.008    19.725    1.477121255          1.295017012
40.0	   40.293    25.01     1.602059991          1.398113692
50.0	   48.438    33.155    1.698970004          1.520549032
60.0	   51.076    35.793    1.77815125           1.5537981
70.0	   56.067    40.784    1.84509804           1.610489818
80.0       60.036    44.753    1.903089987          1.650822153
90.0       64.770    49.487    1.954242509          1.694491127
100.0      68.287    53.004    2                    1.724308645
110.0      73.015    57.732    2.041392685          1.761416603
120.0      75.411    60.128    2.079181246          1.779076758
130.0      79.283    64.000    2.113943352          1.806179974
140.0      81.584    66.301    2.146128036          1.821520079
150.0      85.535    70.252    2.176091259          1.846658693
160.0      89.503    74.22     2.204119983          1.87052095
170.0      93.976    78.693    2.230448921          1.895936102
180.0      97.436    82.153    2.255272505          1.914623427
190.0     101.372    86.089    2.278753601          1.934947663
























































































































  
 












































