&time(mins)  dist(mm)      abs           log_t                     log_abs
0.00        	12.080      0          0                          0
300.0       	16.739      4.659      2.477121255                0.66829271
600.0       	21.629      9.549      2.77815125                 0.979957893
900.0           24.809     12.729      2.954242509                1.104794286
1200.0      	27.355     15.275      3.079181246                1.183981219
1500.0      	30.714     18.634      3.176091259                1.270306091
1800.0          32.256     20.176      3.255272505                1.304835069
2100.0          33.692     21.612      3.322219295                1.334694959
2400.0          35.615     23.535      3.380211242                1.371714203
2700.0      	37.970     25.89       3.431363764                1.41313205
3000.0      	40.055     27.9255     3.477121255                1.446000958
3300.0      	43.522     31.442      3.51851394                 1.497510163
3600.0      	43.752     31.672      3.556302501                1.500675489
3900.0      	46.445     34.365      3.591064607                1.536116348
4200.0      	47.331     35.251      3.62324929                 1.547171442
4500.0      	47.941     35.861      3.653212514                1.554622396
4800.0      	50.469     38.389      3.681241237                1.584206799
5100.0      	52.150     40.07       3.707570176                1.602819342
5400.0          53.397     41.317      3.73239376                 1.61612878
5700.0      	54.504     42.424      3.755874856                1.627611614
6000.0          56.425     44.345      3.77815125                 1.646844659
6300.0          57.060     44.98       3.799340549                1.653019451
6600.0          59.123     47.043      3.819543936                1.67249501
6900.0      	60.225     48.145      3.838849091                1.682551191
7200.0      	61.089     49.009      3.857332496                1.690275841
7500.0      	62.538     50.458      3.875061263                1.702930032
7800.0      	63.828     51.748      3.892094603                1.713893569
8100.0      	66.383     54.303      3.908485019                1.734823823
8400.0      	65.701     53.621      3.924279286                1.729334909
8700.0      	68.249     56.169      3.939519253                1.749496692
9000.0          68.682     56.602      3.954242509                1.752831777
9300.0      	69.307     57.227      3.968482949                1.75760098
9600.0      	71.044     58.964      3.982271233                1.770586938
9900.0      	70.804     58.724      3.995635195                1.76881563
10200.0         73.345     61.265      4.008600172                1.787212438
10500.0         74.227     62.147      4.021189299                1.793420169
10800.0     	75.699     63.619      4.033423755                1.803586838
11100.0     	77.635     65.555      4.045322979                1.816605822
11400.0     	77.391     65.311      4.056904851                1.814986333
11700.0     	78.260     66.18       4.068185862                1.820726763
