&time(secs)   dist(mm)       abs       log_t      log_abs
0.0             8.146         0.0    0          0
30.0          35.668       27.522    1.47712     1.43968
60.0          60.116       51.970    1.77815     1.71575
90.0          82.035       73.889    1.95424     1.86858
120.0         114.234     106.088    2.07918     2.02567










































































































































































































































































































