&time(secs)  dist(mm) d_abs
0.0          4.432    0
5.0      	11.416    6.984
10.0     	18.636   14.204
15.0        25.857   21.425
20.0        27.262   22.83
25.0     	34.708   30.276
30.0     	37.736   33.304
35.0     	45.432   41
40.0     	49.150   44.718
45.0     	54.740   50.308
50.0     	58.701   54.269
55.0        64.523   60.091
60.0        71.051   66.619
65.0     	74.309   69.877
70.0        80.362   75.93
75.0      	87.817   83.385
80.0        91.544   87.112
85.0        97.366   92.934
90.0       105.090   100.658
95.0       111.843   107.411
100.0      117.189   112.757
105.0      127.886   123.454
110.0      134.893   130.461
