&time(secs)  dist(mm) d_abs   log_t             log_abs
0.0         20.272    0        0                  0
10.0        30.431    10.159   1                1.00685096
20.0	    36.486    16.214   1.301029996      1.209890169
30.0     	43.330    23.058   1.477121255      1.362821635
40.0	    51.694    31.422   1.602059991      1.497233824
50.0	    56.512    36.24    1.698970004      1.559188189
60.0	    63.099    42.827   1.77815125       1.631717653
70.0	    69.201    48.929   1.84509804       1.68956634
80.0     	71.506    51.234   1.903089987      1.709558264
90.0        77.330    57.058   1.954242509      1.756316545
100.0      	80.449    60.177   2                1.779430533
110.0       85.208    64.936   2.041392685      1.812485533
120.0       89.698    69.426   2.079181246      1.841522144
130.0       94.512    74.24    2.113943352      1.870637963
140.0       98.318    78.046   2.146128036      1.89235065
150.0       103.135   82.863   2.176091259      1.918360653
160.0       106.208   85.936   2.204119983      1.934175135












































































































  
 












































