&time(secs)  dist(mm) d_abs    log_t          log_abs
0.0       5.738       0        0              0
10.0      9.873       4.135    1              0.616475514
20.0	 12.727       6.989    1.301029996    0.84441504
30.0     18.448       12.71    1.477121255    1.104145551
40.0	 21.559       15.821   1.602059991    1.199233931
50.0	 25.199       19.461   1.698970004    1.289165153
60.0	 29.610       23.872   1.77815125     1.377888806
70.0	 33.250       27.512   1.84509804     1.439522163
80.0     37.405       31.667   1.903089987    1.500606922
90.0 	 41.300       35.562   1.954242509    1.550986178
100.0 	 44.421       38.683   2              1.587520148
110.0    47.012       41.274   2.041392685    1.61567656
120.0    50.653       44.915   2.079181246    1.652391404
130.0    53.255       47.517   2.113943352    1.676849014
140.0    58.973       53.235   2.146128036    1.726197258
150.0  	 60.043       54.305   2.176091259    1.734839818
160.0  	 64.167       58.429   2.204119983    1.766628454
170.0  	 66.792       61.054   2.230448921    1.785714122
180.0    68.314       62.576   2.255272505    1.796407799
190.0  	 72.488       66.75    2.278753601    1.82445127
200.0  	 73.786       68.048   2.301029996    1.832815365
210.0  	 77.142       71.404   2.322219295    1.853722541
220.0  	 82.598       76.86    2.342422681    1.88570038
230.0 	 84.942       79.204   2.3617278      1.898747115
240.0 	 88.842       83.104   2.3802112      1.919621928
250.0  	 94.291       88.553   2.3979400      1.947203279
260.0 	 99.745       94.007   2.4149733      1.973160193
270.0 	106.754       101.016  2.43136376     2.004390167
	 
	 
  
  
  











































































































  
 












































