&time(secs)  dist(mm) d_abs    log_t        log_abs
0.0       	5.345    0      0            0
10.0      	8.990    3.645   1                    0.561697533
20.0	   11.377    6.032  1.301029996           0.780461333
30.0       15.366    10.021 1.477121255           1.000911062
40.0	   17.452    12.107 1.602059991           1.083036542
50.0	   20.358    15.013 1.698970004           1.176467485
60.0	   21.951    16.606 1.77815125            1.220265034
70.0	   25.484    20.139 1.84509804            1.304037902
80.0       26.199    20.854 1.903089987           1.319189369
90.0       28.047    22.702 1.954242509           1.356064119
100.0      29.603    24.258 2                     1.384854992
110.0      33.306    27.961 2.041392685           1.4465527
120.0      34.396    29.051 2.079181246           1.463161086
130.0      35.969    30.624 2.113943352           1.486061916
140.0      37.006    31.661 2.146128036           1.500524628
150.0      40.182    34.837 2.176091259           1.542040749
160.0      42.898    37.553 2.204119983           1.574644637
170.0      43.887    38.542 2.230448921           1.585934247
180.0      43.903    38.558 2.255272505           1.586114499
190.0      45.736    40.391 2.278753601           1.606284606
200.0      48.367    43.022 2.301029996           1.633690596
210.0      48.657    43.312 2.322219295           1.636608238
220.0      48.967    43.622 2.342422681           1.639705573
230.0      50.922    45.577 2.361727836           1.658745735
240.0      52.972    47.627 2.380211242           1.677853226
250.0      53.949    48.604 2.397940009           1.686672012
260.0      56.122    50.777 2.414973348           1.705667038
270.0      56.835    51.49  2.431363764           1.711722892
280.0	   58.528    53.183   2.447158031         1.725772832
290.0	   60.546    55.201   2.462397998         1.741946945
300.0      61.852    56.507 2.477121255           1.752102251
310.0      63.169    57.824 2.491361694           1.762108131
320.0      65.285    59.94  2.505149978           1.777716739
330.0      66.348    61.003 2.51851394            1.785351193
340.0      66.881    61.536 2.531478917           1.789129263
350.0      70.040    64.695 2.544068044           1.810870717
360.0      70.304    64.959 2.556302501           1.812639331
370.0      71.098    65.753 2.568201724           1.817915572
380.0      71.891    66.546 2.579783597           1.823121956
390.0      74.563    69.218 2.591064607           1.840219047
400.0      76.659    71.314 2.602059991           1.853174797
410.0      77.192    71.847 2.612783857           1.856408639
420.0      77.969    72.624 2.62324929           1.861080165
430.0      79.557    74.212 2.633468456           1.870474136
440.0      81.147    75.802 2.643452676           1.879680664
450.0      81.467    76.122 2.653212514           1.88151019
460.0      83.033    77.688 2.662757832           1.890353941
470.0      86.441    81.096 2.672097858           1.908999433
480.0      87.532    82.187 2.681241237           1.914803128
490.0      88.027    82.682 2.69019608            1.917410973
500.0      89.894    84.549 2.698970004           1.927108475
510.0      90.158    84.813 2.707570176           1.928462425
520.0      92.779    87.434 2.716003344           1.941680347
530.0      92.318    86.973 2.72427587            1.939384451
540.0      95.590    90.245 2.73239376            1.955423149
550.0      98.244    92.899 2.740362689           1.968011039
560.0      98.261    92.916 2.748188027           1.968090505
570.0      98.726    93.381 2.755874856           1.97025852
580.0      100.788   95.443 2.763427994           1.979744082
590.0      103.383   98.038 2.770852012           1.991394443
 






































































































  
 












































