&time(secs)   dist(mm)     abs        log_t              log_abs
0.0          13.261       0          0                  0
60.0         20.408       7.147      1.77815125         0.854123782
120.0        26.789       13.528     2.079181246         1.131233595
180.0        32.228       18.967     2.255272505         1.277998644
240.0        37.370       24.109     2.380211242         1.382179197
300.0        42.697       29.436     2.477121255         1.468878794
360.0        46.420       33.159     2.556302501         1.520601425
420.0        49.673       36.412     2.62324929          1.561244534
480.0        55.113       41.852     2.681241237         1.621716217
540.0        58.683       45.422     2.73239376          1.657266253
600.0        62.438       49.177     2.77815125          1.691762031
660.0        66.835       53.574     2.819543936         1.728954073
720.0        70.048       56.787     2.857332496         1.754248926
780.0        74.124       60.863     2.892094603         1.784353355
840.0        77.536       64.275     2.924279286         1.808042085
900.0        82.073       68.812     2.954242509         1.837664181
960.0        87.199       73.938     2.982271233         1.868867699
1020.0       91.726       78.465     3.008600172         1.894675979
1080.0       97.760       84.499     3.033423755         1.926851569
1140.0       103.195      89.934     3.056904851         1.95392391







































































































































































































































































































































































