&time(secs)   dist(mm)    abs       log_t               log_bas
0.0        11.969        0         0                   0
60.0       17.134        5.165     1.77815125         0.713070326
120.0      22.061        10.092    2.079181246         1.003977242
180.0      25.351        13.382    2.255272505         1.126521026
240.0      29.573        17.604    2.380211242         1.24561136
300.0      34.038        22.069    2.477121255         1.343782655
360.0      38.021        26.052    2.556302501         1.41584107
420.0      40.838        28.869    2.62324929         1.460431741
480.0      42.955        30.986    2.681241237         1.491165517
540.0      46.010        34.041    2.73239376         1.53200231
600.0      49.288        37.319    2.77815125         1.571929998
660.0      51.881        39.912    2.819543936         1.601103491
720.0      54.745        42.776    2.857332496         1.631200171
780.0      58.741        46.772    2.892094603         1.669985941
840.0      59.635        47.666    2.924279286         1.678208709
900.0      62.205        50.236    2.954242509         1.701015052
960.0      63.839        51.87     2.982271233         1.714916248
1020.0     68.297        56.328    3.008600172         1.750724331
1080.0     68.076        56.107    3.033423755         1.749017048
1140.0     71.584        59.615    3.056904851         1.775355548
1200.0     74.891        62.922    3.079181246         1.798802518
1260.0     76.420        64.451    3.100370545         1.80922966
1320.0     79.205        67.236    3.120573931         1.827601869
1380.0     81.930        69.961    3.139879086         1.844856009
1440.0     84.506        72.537    3.158362492         1.86055959
1500.0     86.145        74.176    3.176091259         1.87026341
1560.0     87.781        75.812    3.193124598         1.879737954
1620.0     91.073        79.104    3.209515015         1.898198445
1680.0     93.646        81.677    3.225309282         1.912099778
1740.0     96.697        84.728    3.240549248         1.928026955
1800.0    100.933        88.964    3.255272505         1.949214301







































































































































































































































































































































































