&time(secs)  dist(mm) d_abs    lot_t        log_abs
0.0         19.020    0         0               0
10.0        30.126    11.106   1                1.045557669
20.0	    35.190    16.17    1.301029996      1.20871002
30.0        44.654    25.634   1.477121255      1.40881638
40.0	    49.821    30.801   1.602059991      1.488564817
50.0	    56.791    37.771   1.698970004      1.577158483
60.0	    62.578    43.558   1.77815125       1.639067931
70.0	    68.784    49.764   1.84509804       1.696915281
80.0     	73.539    54.519   1.903089987      1.736547881
90.0     	78.639    59.619   1.954242509      1.775384687
100.0    	84.775    65.755   2                1.817928782
110         92.394    73.374   2.041392685      1.865542195
      

































































































































  
 












































