&time(secs)  dist(mm)    d_abs    error
0.0          5.042      0         0
20.0       	10.106      5.064     0.10128
40.0       	15.495      10.453    0.20906
60.0       	22.187      17.145    0.3429
80.0       	28.267      23.225    0.4645
100.0      	32.612      27.57     0.5514
120.0      	38.321      33.279    0.66558
140.0      	43.025      37.983    0.75966
160.0       47.400      42.358    0.84716
180.0       51.097      46.055    0.9211
200.0       59.996      54.954    1.09908
220.0       65.715      60.673    1.21346
240.0       72.948      67.906    1.35812
260.0       75.649      70.607    1.41214
280.0       79.027      73.985    1.4797
300.0       84.712      79.67     1.5934
320.0       90.423      85.381    1.70762
340.0       95.846      90.804    1.81608
360.0       103.868     98.826    1.97652
380.0       109.924     104.882   2.09764
400.0       116.303     111.261   2.22522
