&time(secs)  dist(mm) d_abs
0.0          9.092      0
10.0      	13.253      4.161
20.0	    16.336      7.244
30.0     	20.501     11.409
40.0	    23.886     14.794
50.0	    26.535     17.443
60.0	    29.132     20.04
70.0	    33.444     24.352
80.0        36.539     27.447
90.0     	38.835     29.743
100.0    	42.226     33.134
110.0    	44.854     35.762
120.0    	47.620     38.528
130.0    	50.873     41.781
140.0       53.784     44.692
150.0    	56.560     47.468
160.0       58.888     49.796
170.0    	62.419     53.327
180.0    	65.038     55.946
190.0    	68.433     59.341
200.0    	69.984     60.892
210.0    	73.524     64.432
220.0    	76.600     67.508
230.0    	80.313     71.221
240.0    	81.385     72.293
250.0    	86.155     77.063
260.0    	87.878     78.786
270.0    	90.831     81.739
280.0    	94.236     85.144
290.0    	99.137     90.045
300.0       102.171    93.079
310.0    	104.648    95.556
320.0    	110.811    101.719
330.0    	115.923    106.831
