&weight(gms) F_buoy       sqrt     error  log_fit  error  filename
   2.70      0.302      7.3648   0.3307    0.8260  0.0162  lhist7.dat    
   3.250     0.297      8.07877  0.3705    0.7964  0.0191  lhist30.dat    
   3.467     0.294      6.7647   0.2627    0.8004  0.0102 lhist15.dat
   4.141     0.288      6.1805   0.1226    0.7638  0.0165 lhist9.dat
   5.07      0.279      5.7552   0.1085    0.7618  0.0119 lhist11.dat
   6.006     0.270      5.6147   0.1167    0.7661  0.0085 lhist13.dat
   6.568     0.264      4.3118   0.1089    0.7984  0.0103 lhist26.dat
   8.145     0.249      2.956    0.1182    0.8148  0.0356 lhist17.dat
   9.695     0.233      2.2743   0.0607    0.8311  0.0084 lhist19.dat
  11.700     0.214      1.7131   0.0263    0.7407  0.0041 lhist21.dat
  14.010     0.191      2.1419   0.0500    0.6404  0.0034 lhist23.dat
  15.464     0.177      0.6672   0.0090    0.6751  0.0086 lhist32.dat
  17.266     0.169      0.0      0.0































































































  
  
  
  

 
 
 
 
 
 
 
 
 
 
 
 
 
  
  
  
  
  
 












































