&time(secs)  dist(mm)    d_abs       log_t             log_abs
0.0         	21.155   0        0                   0
10.0        	29.998   8.843    1                   0.946599625
20.0	        35.337   14.182   1.301029996         1.151737481
30.0            43.229   22.074   1.477121255         1.343881038
40.0	       	52.130   30.975   1.602059991         1.491011315
50.0	        56.692   35.537   1.698970004         1.550680762
60.0	       	61.800   40.645   1.77815125          1.609007128
70.0	        68.401   47.246   1.84509804          1.674365046
80.0            72.734   51.579   1.903089987         1.712472918
90.0            75.840   54.685   1.954242509         1.737868216
100.0      	    81.416   60.261   2                   1.780036334
110.0           85.671   64.516   2.041392685         1.809667433
120.0           90.015   68.86    2.079181246         1.837967018
130.0           94.342   73.187   2.113943352         1.864433945
140.0           98.641   77.486   2.146128036         1.889223242
150.0           101.72   80.575   2.176091259         1.906173364
160.0           106.06   84.912   2.204119983         1.92896907
                                        
                                        
                                        









































































































  
 












































