&time(secs)  dist(mm) d_abs      log_t                log_abs
0.0        9.058      0          0                     0
10.0      15.763      6.705      1                     0.826398782
20.0	  20.155      11.097     1.301029996           1.045205586
30.0      28.174      19.116     1.477121255           1.281397022
40.0	  31.268      22.21      1.602059991           1.346548559
50.0	  36.949      27.891     1.698970004           1.445464086
60.0	  43.673      34.615     1.77815125            1.539264336
70.0	  47.070      38.012     1.84509804            1.579920721
80.0       51.965     42.907     1.903089987           1.63252815
90.0       53.231     44.173     1.954242509           1.645156895
100.0      58.137     49.079     2                     1.690895705
110.0      61.240     52.182     2.041392685           1.71752072
120.0      64.078     55.02      2.079181246           1.740520586
130.0      66.153     57.095     2.113943352           1.756598077
140.0      70.020     60.962     2.146128036           1.785059207
150.0      71.316     62.258     2.176091259           1.794195165
160.0      74.673     65.615     2.204119983           1.817003133
170.0      78.562     69.504     2.230448921           1.842009799
180.0      80.898     71.84      2.255272505           1.856366324
190.0      82.423     73.365     2.278753601           1.865488922
200.0      83.714     74.656     2.301029996           1.873064717
210.0      85.785     76.727     2.322219295           1.884948218
220.0      89.158     80.1       2.342422681           1.903632516
230.0      90.192     81.134     2.361727836           1.909202888
240.0      93.280     84.222     2.380211242           1.92542555
250.0      94.566     85.508     2.397940009           1.932006749
260.0      97.417     88.359     2.414973348           1.946250792
270.0      99.217     90.159     2.431363764           1.955009086
280.0      102.350    93.292     2.447158031           1.969844404
290.0      104.386    95.328     2.462397998           1.979220482

  












































































































  
 












































