&time(secs)  dist(mm) d_abs       log_t            log_abs
0.0          11.248   0          0                   0
10.0         17.361   6.113      1                   0.786254396
20.0	     21.693   10.445     1.301029996         1.018908444
30.0         27.546   16.298     1.477121255         1.212134313
40.0	     32.137   20.889     1.602059991         1.31991765
50.0	     36.487   25.239     1.698970004         1.402072144
60.0	     40.574   29.326     1.77815125          1.46725283
70.0	     43.626   32.378     1.84509804          1.510250019
80.0         47.695   36.447     1.903089987         1.561661787
90.0         50.758   39.51      1.954242509         1.59670703
100.0        54.071   42.823     2                   1.631677089
110.0        57.897   46.649     2.041392685         1.668842338
120.0        61.724   50.476     2.079181246         1.703084932
130.0        63.521   52.273     2.113943352         1.718277425
140.0        65.804   54.556     2.146128036         1.736842521
150.0        68.107   56.859     2.176091259         1.754799217
160.0        71.160   59.912     2.204119983         1.777513818
170.0        72.945   61.697     2.230448921         1.790264047
180.0        76.006   64.758     2.255272505         1.811293427
190.0        76.775   65.527     2.278753601         1.816420285
200.0        80.603   69.355     2.301029996         1.841077776
210.0      	 81.127   69.879     2.322219295         1.844346681
220.0        83.927   72.679     2.342422681         1.861408943
230.0     	 86.210   74.962     2.361727836         1.874841165
240.0     	 87.776   76.528     2.380211242         1.883820364
250.0      	 89.298   78.05      2.397940009         1.892372907
260.0     	 92.358   81.11      2.414973348         1.909074401
270.0     	 93.627   82.379     2.431363764         1.915816516
280.0     	 96.942   85.694     2.447158031         1.932950415
290.0     	 97.953   86.705     2.462397998         1.938044143
300.0        99.545   88.297     2.477121255         1.945945948
310.0        102.308  91.06      2.491361694         1.959327646
320.0        103.308  92.06      2.505149978         1.964070971
         
         
         
         
         
         
         
         
         
         
         
         
         
         
         
         
         
         
         
























































































  
 












































