&time(secs)   dist(mm)    abs       log_t                log_abs
0.0           	6.224   0        0                     0
20.0          	8.055   1.831    1.301029996           0.262688344
40.0           10.748   4.524    1.602059991           0.655522596
60.0           13.174   6.95     1.77815125            0.841984805
80.0           14.286   8.062    1.903089987           0.906442794
100.0          17.177   10.953   2                     1.039533088
120.0          18.816   12.592   2.079181246           1.100094715
140.0          20.934   14.71    2.146128036           1.167612673
160.0          23.118   16.894   2.204119983           1.22773249
180.0          24.426   18.202   2.255272505           1.26011911
200.0          26.580   20.356   2.301029996           1.308692442
220.0          27.384   21.16    2.342422681           1.325515663
240.0          28.725   22.501   2.380211242           1.35220182
260.0          31.667   25.443   2.414973348           1.405568318
280.0          34.098   27.874   2.447158031           1.445199296
300.0          36.228   30.004   2.602059991           1.477179157
320.0          36.532   30.308   2.505149978           1.481557279
340.0          38.920   32.696   2.531478917           1.514494625
360.0          40.847   34.623   2.556302501           1.539364696
380.0          42.798   36.574   2.579783597           1.538749628
400.0          44.031   37.807   2.602059991           1.577572217
420.0          45.087   38.863   2.62324929           1.589536323
440.0          46.221   39.997   2.643452676           1.602027418
460.0          47.608   41.384   2.662757832           1.616832465
480.0          49.483   43.259   2.681241237           1.636076476
500.0          51.542   45.318   2.698970004           1.656270735
520.0          51.799   45.575   2.716003344           1.658726677
540.0          54.519   48.295   2.73239376           1.68390217
560.0          55.107   48.883   2.748188027           1.689157851
580.0          56.943   50.719   2.763427994           1.705170682
600.0          58.507   52.283   2.77815125           1.718360499
620.0          61.468   55.244   2.792391689           1.742285117
640.0          61.780   55.556   2.806179974           1.744730969
660.0          62.005   55.781   2.819543936           1.746486296
680.0          65.748   59.524   2.832508913           1.774692108
700.0          65.238   59.014   2.84509804            1.770955052
720.0          66.018   59.794   2.857332496           1.776657607
740.0          68.708   62.484   2.86923172            1.795768824
760.0          69.249   63.025   2.880813592           1.799512854
780.0           71.156   64.932   1.84509804            1.81245878
800.0          71.383   65.159   2.903089987           1.813974411
820.0          73.534   67.31    2.913813852           1.828079591
840.0          74.873   68.649   2.924279286           1.836634215
860.0          75.677   69.453   2.934498451           1.84169101
880.0          76.754   70.53    2.944482672           1.848373884
900.0          77.291   71.067   2.954242509           1.851667983
920.0          79.173   72.949   2.963787827           1.863019343
940.0          80.239   74.015   2.973127854           1.869319743
960.0          81.314   75.09    2.982271233           1.875582104
980.0          84.275   78.051   2.991226076           1.892378472
1000.0         84.802   78.578   3                     1.895300971
1020.0         85.070   78.846   3.008600172           1.896779666
1040.0         88.021   81.797   3.017033339           1.912737376
1060.0         89.635   83.411   3.025305865           1.921223328
1080.0         88.827   82.603   3.033423755           1.91699582
1100.0         91.245   85.021   3.041392685           1.929526209
1120.0         91.780   85.556   3.049218023           1.932250472
1140.0         92.865   86.641   3.056904851           1.937723456
1160.0         95.537   89.313   3.064457989           1.950914677
1180.0         95.804   89.58    3.071882007           1.952211058
1200.0         97.147   90.923   3.079181246           1.958673757
1220.0         99.830   93.606   3.086359831           1.971303687
1240.0        101.448   95.224   3.093421685           1.978746421
1260.0        101.171   94.947   3.100370545           1.977481247
1280.0        101.984   95.76    3.10720997            1.981184137
1300.0        103.334   97.11    3.113943352           1.987263954
          
         










































































































































































































































































































