&time(secs)   dist(mm)    abs         log_t                 log_abs
0.0        	8.984        0      0                     0
60.0       13.379        4.395      1.77815125            0.642958879
120.0      16.593        7.609      2.079181246           0.881327584
180.0      18.212        9.228      2.255272505           0.965107586
240.0      21.929        12.945     2.380211242           1.112102055
300.0      24.889        15.905     2.477121255           1.201533673
360.0      26.517        17.533     2.556302501           1.243856233
420.0      29.260        20.276     2.62324929            1.306982283
480.0      30.182        21.198     2.681241237           1.326294888
540.0      33.432        24.448     2.73239376            1.388243337
600.0      34.793        25.809     2.77815125            1.411771178
660.0      36.860        27.876     2.819543936           1.445230456
720.0      38.275        29.291     2.857332496           1.466734199
780.0      40.786        31.802     2.892094603           1.502454433
840.0      42.624        33.64      2.924279286           1.526855987
900.0      44.694        35.71      2.954242509           1.55278985
960.0      45.383        36.399     2.982271233           1.561089452
1020.0     47.687        38.703     3.008600172           1.58774463
1080.0     48.380        39.396     3.033423755           1.595452129
1140.0     50.225        41.241     3.056904851           1.615329187
1200.0     52.367        43.383     3.079181246           1.637319581
1260.0     53.506        44.522     3.100370545           1.648574665
1320.0     55.128        46.144     3.120573931           1.664115239
1380.0     56.939        47.955     3.139879086           1.680833895
1440.0     59.205        50.221     3.158362492           1.700885356
1500.0     60.361        51.377     3.176091259           1.710768741
1560.0     61.561        52.577     3.193124598           1.720795802
1620.0     63.125        54.141     3.209515015           1.733526273
1680.0     64.783        55.799     3.225309282           1.746626416
1740.0     64.964        55.98      3.240549248           1.748032894
1800.0     66.813        57.829     3.255272505           1.762145682
1860.0     67.969        58.985     3.269512944           1.770741584
1920.0     69.114        60.13      3.283301229           1.779091204
1980.0     70.038        61.054     3.29666519           1.785714122
2040.0     70.502        61.518     3.309630167           1.789002208
2100.0     74.185        65.201     3.322219295           1.814254257
2160.0     74.438        65.454     3.334453751           1.815936192
2220.0     76.022        67.038     3.346352974           1.826321049
2280.0     77.186        68.202     3.357934847           1.83379711
2340.0     78.129        69.145     3.369215857           1.839760781
2400.0     78.374        69.39      3.380211242           1.841296887
2460.0     79.741        70.757     3.390935107           1.849769411
2520.0     80.860        71.876     3.401400541           1.8565839
2580.0     82.484        73.5       3.411619706           1.866287339
2640.0     83.854        74.87      3.421603927           1.874307833
2700.0     84.801        75.817     3.431363764           1.879766596
2760.0     85.943        76.959     3.440909082           1.886259416
2820.0     88.538        79.554     3.450249108           1.900662021
2880.0     89.441        80.457     3.459392488           1.905563835
2940.0     90.306        81.322     3.46834733            1.910208051
3000.0     91.710        82.726     3.477121255           1.917642026
3060.0     92.849        83.865     3.485721426           1.923580751
3120.0     93.307        84.323     3.494154594           1.925946049
3180.0     94.013        85.029     3.50242712            1.929567072
3240.0     95.836        86.852     3.51054501            1.938779824
3300.0     98.867        89.883     3.51851394            1.953677559
