&time(mins)  dist(mm)      abs           log_t          log_abs
0.00         2.705       0            0                  0
120.0        17.369      14.664       2.079181246        1.166252452
240.0        25.922      23.217       2.380211242        1.365806101
360.0        33.379      30.674       2.556302501        1.486770413
480.0        39.907      37.202       2.681241237        1.570566288
600.0        44.632      41.927       2.77815125         1.622493788
720.0        50.042      47.337       2.857332496        1.675200731
840.0        54.773      52.068       2.924279286        1.716570896
960.0        59.739      57.034       2.982271233        1.756133831
1080.0       64.260      61.555       3.033423755        1.789263336
1200.0       68.525      65.82        3.079181246        1.818357878
1320.0       72.133      69.428       3.120573931        1.841534655
1440.0       75.978      73.273       3.158362492        1.864943973
1560.0       80.276      77.571       3.193124598        1.88969939
1680.0       81.396      78.691       3.225309282        1.895925064
1800.0       86.785      84.08        3.255272505        1.924692703
1920.0       90.163      87.458       3.283301229        1.941799542
2040.0       94.001      91.296       3.309630167        1.96045175
2160.0       98.727      96.022       3.334453751        1.982370747
&2280.0       101.002     98.297       3.357934847        1.992540263
&2400.0       105.727     103.022      3.380211242        2.012929977
 
    
    
    
    























































































































  
  
  
  

 
 
 
 
 
 
 
 
 
 
 
 
 
  
  
  
  
  
 












































