&time(secs)   dist(mm)      abs         log_t               log_abs
0.0         	11.603     0         0                     0
20.0        	17.671     6.068     1.301029996           0.783045572
40.0        	22.525     10.922    1.602059991           1.038302172
60.0            27.700     16.097    1.77815125            1.206744944
80.0        	32.728     21.125    1.903089987           1.324796718
100.0           36.226     24.623    2                     1.391340965
120.0           40.333     28.73     2.079181246           1.458335626
140.0       	45.053     33.45     2.146128036           1.524396122
160.0           48.861     37.258    2.204119983           1.571219538
180.0           52.412     40.809    2.255272505           1.610755953
200.0           55.858     44.255    2.301029996           1.645962345
220.0       	59.109     47.506    2.342422681           1.676748464
240.0       	63.165     51.562    2.380211242           1.712329755
260.0       	65.446     53.843    2.414973348           1.73112925
280.0       	70.011     58.408    2.447158031           1.766472335
300.0           72.144     60.541    2.477121255           1.78204959
320.0           74.580     62.977    2.505149978           1.799181969
340.0           76.295     64.692    2.531478917           1.810850578
360.0       	78.539     66.936    2.556302501           1.825659756
380.0           81.142     69.539    2.579783597           1.842228441
400.0       	84.331     72.728    2.602059991           1.861701645
420.0       	86.163     74.56     2.62324929            1.872505899
440.0       	88.452     76.849    2.643452676           1.885638221
460.0       	90.473     78.87     2.662757832           1.896911841
480.0           92.994     81.391    2.681241237           1.910576384
500.0       	95.124     83.521    2.698970004           1.921795686
520.0       	98.486     86.883    2.716003344           1.938934808
540.0       	100.202    88.599    2.73239376            1.94742882
560.0           102.778    91.175    2.748188027           1.959875772



















































































































































































































































































































































