&time(secs)  dist(mm)     d_abs       log_t              log_abs
0.0          20.272       0          0                   0
10.0         30.729       10.457     1                   1.019407108
20.0	     41.467       21.195     1.301029996         1.326233421
30.0         48.861       28.589     1.477121255         1.456198965
40.0	     56.569       36.297     1.602059991         1.559870731
50.0	     63.726       43.454     1.698970004         1.63802976
60.0	     71.523       51.251     1.77815125          1.709702344
70.0	     77.232       56.96      1.84509804          1.755569981
80.0         81.850       61.578     1.903089987         1.789425579
90.0         85.915       65.643     1.954242509         1.817188421
100.0        92.311       72.039     2                   1.857567676
110.0        95.902       75.63      2.041392685         1.8786941
120.0        100.762      80.49      2.079181246         1.905741927
130.0        105.283      85.011     2.113943352         1.929475125


































































































































  
 












































