&time(secs)  dist(mm) d_abs    log_t      log_abs
0.0        	10.387    0    0         0
10.0        18.748    8.361     1.0       0.92236
20.0	    27.352    16.965    1.30102   1.22955
30.0        36.736    26.349    1.47712   1.42076
40.0	    46.754    36.367    1.60206   1.56071
50.0	    53.763    43.376    1.69897   1.63725
60.0	    61.749    51.362    1.77815   1.71064
70.0	    68.801    58.414    1.84509   1.76652
80.0        76.977    66.59     1.90309   1.82341
90.0       	84.844    74.457    1.95424   1.87191
100.0       94.730    84.343    2.0       1.92605
110.0      106.455    96.068    2.04139   1.98258
 
















































































































  
 












































