&time(secs)  dist(mm) d_abs      log_t         log_abs
0.0         10.860    0      0                 0
10.0        18.437    7.577       1              0.879497287
20.0	    26.376    15.516      1.301029996    1.190779771
30.0        30.725    19.865      1.477121255    1.298088569
40.0	    36.351    25.491      1.602059991    1.406386873
50.0	    40.482    29.622      1.698970004    1.471614378
60.0	    46.131    35.271      1.77815125     1.547417773
70.0	    49.723    38.863      1.84509804     1.589536323
80.0        52.804    41.944      1.903089987    1.622669845
90.0     	58.428    47.568      1.954242509    1.677314892
100.0    	61.977    51.117      2              1.708565358
110.0    	65.332    54.472      2.041392685    1.736173321
120.0    	67.862    57.002      2.079181246    1.755890094
130.0    	70.949    60.089      2.113943352    1.778794977
140.0    	76.841    65.981      2.146128036    1.819418893
150.0       80.176    69.316      2.176091259    1.840833493
160.0    	83.982    73.122      2.204119983    1.864048062
170.0    	88.314    77.454      2.230448921    1.889043851
180.0    	93.998    83.138      2.255272505    1.919799573
190.0    	100.883   90.023      2.278753601    1.954353482
























































































































  
 












































