&time(secs)   dist(mm)   abs         log_t                  log_abs
 0.0         10.942     0            0                     0
 120.0       17.075     6.133      2.079181246             1.232360712
 240.0       24.096     13.154     2.380211242             1.381944955
 360.0       30.481     19.539     2.556302501             1.484029211
 480.0       36.329     25.387     2.681241237             1.560253444
 600.0       40.936     29.994     2.77815125             1.612105404
 720.0       46.393     35.451     2.857332496             1.666452457
 840.0       50.339     39.397     2.924279286             1.701904584
 960.0       54.712     43.77      2.982271233             1.738082591
 1080.0      60.182     49.24      3.033423755             1.779466616
 1200.0      63.492     52.55      3.079181246             1.802719008
 1320.0      68.719     57.777     3.120573931             1.837076831
 1440.0      73.755     62.813     3.158362492             1.867791467
 1560.0      78.123     67.181     3.193124598             1.892778912
 1680.0      83.599     72.657     3.225309282             1.922201082
 1800.0      89.722     78.78      3.255272505             1.952898946
 1920.0    	 96.725     85.783     3.283301229             1.985538738





































































































































































































































































































































































































