&time(secs)   dist(mm)   abs                        log_abs
0.0          8.317      0           0               0
20.0        17.394      9.077       1.301029996     0.957942335
40.0        24.208      15.891      1.602059991     1.201151228
60.0        31.130      22.813      1.77815125      1.3581824
80.0        37.027      28.71       1.903089987     1.458033192
100.0       42.919      34.602      2               1.539101202
120.0       47.752      39.435      2.079181246     1.595881845
140.0       53.349      45.032      2.146128036     1.653521236
160.0       57.726      49.409      2.204119983     1.693806064
180.0       62.712      54.395      2.255272505     1.735558981
200.0       68.008      59.691      2.301029996     1.775908855
220.0       73.160      64.843      2.342422681     1.8118631
240.0       78.619      70.302      2.380211242     1.84696768
260.0       84.838      76.521      2.414973348     1.883780637
280.0       91.959      83.642      2.447158031     1.922424409
300.0      100.665      92.348      2.477121255     1.965427494





















































































































































































































































































































































































































