&time(secs)  dist(mm) d_abs  log_t           log_abs
0.0         18.908   0        0              0
10.0        32.107   13.199  1               1.120541029
20.0	    39.041   20.133  1.301029996     1.303908494
30.0        49.431   30.523  1.477121255     1.484627217
40.0	    54.831   35.923  1.602059991     1.555372598
50.0	    60.955   42.047  1.698970004     1.623735015
60.0	    67.260   48.352  1.77815125      1.684414443
70.0	    75.913   57.005  1.84509804      1.75591295
80.0     	79.027   60.119  1.903089987     1.779011748
90.0     	88.013   69.105  1.954242509     1.839509471
100.0    	98.406   79.498  2               1.900356203
  
      

































































































































  
 












































