&time(secs)   dist(mm)     abs    log_t                log_abs
 0.0          5.459       0        0                   0
 120.0        7.965       2.506   2.079181246          0.398981067
 240.0        10.295      4.836   2.380211242          0.684486292
 360.0        13.034      7.575   2.556302501          0.879382637
 480.0        16.351      10.892  2.681241237          1.037107633
 600.0        17.573      12.114  2.77815125          1.083287569
 720.0        21.215      15.756  2.857332496          1.197445972
 840.0        22.415      16.956  2.924279286          1.229323408
 960.0        25.132      19.673  2.982271233          1.293870592
 1080.0       29.371      23.912  3.033423755          1.378615902
 1200.0       29.688      24.229  3.079181246          1.38433549
 1320.0       32.102      26.643  3.120573931          1.425583125
 1440.0       34.519      29.06   3.158362492          1.46329561
 1560.0       36.638      31.179  3.193124598          1.493862182
 1680.0       37.854      32.395  3.225309282          1.510477984
 1800.0       39.368      33.909  3.255272505          1.530314982
 1920.0       40.877      35.418  3.283301229          1.549224034
 2040.0       42.704      37.245  3.309630167          1.571067979
 2160.0       44.897      39.438  3.334453751          1.595914883
2280.0        44.208      38.749  3.357934847          1.588260499
2400.0        49.662      44.203  3.380211242          1.645451745
2520.0        48.481      43.022  3.401400541          1.633690596
2640.0        50.581      45.122  3.421603927          1.654388341
2760.0        53.626      48.167  3.440909082          1.682749598
2880.0        54.807      49.348  3.459392488          1.693269556
3000.0        56.360      50.901  3.477121255          1.706726315
3120.0        57.560      52.101  3.494154594          1.716846059
3240.0        57.544      52.085  3.51054501          1.716712668
3360.0        59.981      54.522  3.526339277          1.736571778
3480.0        60.294      54.835  3.541579244          1.739057848
3600.0        61.593      56.134  3.556302501          1.74922599
3720.0        63.310      57.851  3.57054294          1.76231087
3840.0        65.461      60.002  3.584331224          1.778165727
3960.0        66.323      60.864  3.597695186          1.784360491
4080.0        68.135      62.676  3.610660163          1.797101272
4200.0        69.054      63.595  3.62324929          1.803422972
4320.0        70.025      64.566  3.635483747          1.810003882
4440.0        71.460      66.001  3.64738297          1.819550516
4560.0        72.068      66.609  3.658964843          1.823532914
4680.0        73.922      68.463  3.670245853          1.835455926
4800.0        76.622      71.163  3.681241237          1.852254248
4920.0        77.346      71.887  3.691965103          1.85665036
5040.0        77.667      72.208  3.702430536          1.858585316
5160.0        80.564      75.105  3.712649702          1.87566885
5280.0        80.544      75.085  3.722633923          1.875553185
5400.0        80.250      74.791  3.73239376          1.87384934
5520.0        82.365      76.906  3.741939078          1.885960224
5640.0        83.271      77.812  3.751279104          1.891046578
5760.0        85.389      79.93   3.760422483          1.902709813
5880.0        86.619      81.16   3.769377326          1.909342038
6000.0        86.703      81.244  3.77815125          1.909791297
6120.0        87.513      82.054  3.786751422          1.914099757
6240.0        88.732      83.273  3.79518459          1.920504211
6360.0        91.494      86.035  3.803457116          1.934675163
6480.0        93.008      87.549  3.811575006          1.94225119
6600.0        93.568      88.109  3.819543936          1.945020272
6720.0        95.404      89.945  3.827369273          1.953977026
6840.0        96.609      91.15   3.835056102          1.959756673
6960.0        98.106      92.647  3.84260924          1.966831361
7080.0        100.226     94.767  3.850033258          1.976657133
7200.0        102.107     96.648  3.857332496          1.985192871
7320.0        102.958     97.499  3.864511081          1.989000161
7440.0        104.830     99.371  3.871572936          1.99725966
7560.0        105.982     100.523 3.878521796          2.002265441
7680.0        107.799     102.34  3.88536122          2.010045413


































































































































































































































































































































































































