&time(secs)  dist(mm)        d_abs    error
0.0    	22.998      0          0
1.0    	34.272    11.274       0.22548
2.0   	44.644    21.646       0.43292
3.0     48.252    25.254       0.50508
4.0     64.486    41.488       0.82976
5.0     68.997    45.999       0.91998
6.0     73.281    50.283       1.00566
7.0     77.790    54.792       1.09584
8.0     90.641    67.643       1.35286
9.0    	101.464   78.466       1.56932
10.0   	105.767   82.769       1.65538
11.0   	109.132   86.134       1.72268
