&time(secs)  dist(mm)   d_abs    error
0.0    	     7.395      0        0
10.0        15.503      8.108    0.16216
20.0        22.867      15.472   0.30944
30.0        32.512      25.117   0.50234
40.0        41.506      34.111   0.68222
50.0  	    49.300      41.905    0.8381
60.0        57.850      50.455   1.0091
70.0        66.161      58.766   1.17532
80.0        75.972      68.577   1.37154
90.0        81.853      74.458   1.48916
100.0  	    91.433      84.038   1.68076
110.0  	    98.833      91.438   1.82876
120.0  	   110.032      102.637  2.05274
130.0  	   120.577      113.182  2.26364
