&time(secs)  dist(mm)   d_abs    error
0.0         4.258      0         0
10.0        7.872      3.614     0.07228
20.0       10.756      6.498     0.12996
30.0       14.118      9.86      0.1972
40.0       17.044      12.786    0.25572
50.0       21.069      16.811    0.33622
60.0       24.874      20.616    0.41232
70.0       27.115      22.857    0.45714
80.0 	   30.704      26.446    0.52892
90.0 	   33.620      29.362    0.58724
100.0	   36.560      32.302    0.64604
110.0	   39.680      35.422    0.70844
120.0  	   41.920      37.662    0.75324
130.0      44.818      40.56     0.8112
140.0  	   47.964      43.706    0.87412
150.0  	   51.541      47.283    0.94566
160.0  	   54.022      49.764    0.99528
170.0      56.471      52.213    1.04426
180.0  	   60.281      56.023    1.12046
190.0      62.765      58.507    1.17014
200.0      67.006      62.748    1.25496
210.0  	   69.029      64.771    1.29542
220.0  	   71.936      67.678    1.35356
230.0      75.969      71.711    1.43422
240.0      78.233      73.975    1.4795
250.0      81.126      76.868    1.53736
260.0      85.173      80.915    1.6183
270.0      88.314      84.056    1.68112
280.0  	   91.436      87.178    1.74356
290.0      94.124      89.866    1.79732
300.0  	   98.604      94.346    1.88692
310.0     103.312      99.054    1.98108
320.0     106.458      102.2     2.044
330.0     108.919      104.661   2.09322
340.0     114.286      110.028   2.20056
