&time(secs)  dist(mm)     d_abs       error
0.0         9.324      0          0
10.0       13.448      4.124      0.08248
20.0        17.279      7.955      0.1591
30.0    25.009     15.685      0.3137
40.0    28.521     19.197      0.38394
50.0    33.457     24.133      0.48266
60.0    40.883     31.559      0.63118
70.0    44.703     35.379      0.70758
80.0    48.546     39.222      0.78444
90.0    52.384     43.06       0.8612
100.0     57.320     47.996      0.95992
110.0    62.006     52.682      1.05364
120.0    64.802     55.478      1.10956
130.0    70.256     60.932      1.21864
140.0    74.050     64.726      1.29452
150.0    77.889     68.565      1.3713
160.0    82.285     72.961      1.45922
170.0    86.946     77.622      1.55244
180.0    89.989     80.665      1.6133
190.0    96.576     87.252      1.74504
