&time(secs)  dist(mm) d_abs         error
0.0    	4.438    0          0
10.0    9.220    4.782      0.09564
20.0    13.04     8.6097     0.17218
30.0    18.047   13.609      0.27218
40.0   21.372   16.934      0.33868
50.0   26.649   22.211      0.44422
60.0   31.906   27.468      0.54936
70.0   34.964   30.526      0.61052
80.0   40.794   36.356      0.72712
90.0   45.486    41.048      0.82096
100.0   49.381    44.943      0.89886
110.0   52.974    48.536      0.97072
120.0   56.313    51.875      1.0375
130.0  60.188    55.75       1.115
140.0   65.476    61.038      1.22076
150.0   68.810    64.372      1.28744
160.0   72.391    67.953      1.35906
170.0   74.89     70.4597     1.40918
180.0   79.069    74.631      1.49262
190.0   81.009    76.571      1.53142
200.0   86.81     82.3731     1.64746
210.0   87.104    82.666      1.65332
220.0  90.41     85.9797     1.71958
230.0   95.96     91.5253     1.8305
240.0   99.56     95.1319     1.90262
250.0   103.73     99.3        1.986
260.0   109.007    104.569     2.09138
270.0   113.47     109.039     2.180787
280.0   117.890    113.452     2.26904
